Monat";Zuzüge;;Fortzüge;;"Zuzugs- bzw. Fortzugs-
überschuss (–)";;;;;;;;;;;;;;
;"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
Juli;31.018;15.672;31.159;15.813;– 141;–;– 141;;;;;;;;;;;;
August;33.962;17.326;33.652;17.016;310;–;310;;;;;;;;;;;;
September;34.154;19.055;29.582;14.483;4.572;–;4.572;;;;;;;;;;;;
Oktober;;;;;;;;;;;;;;;;;;;
November;;;;;;;;;;;;;;;;;;;
Dezember;;;;;;;;;;;;;;;;;;;
_____;;;;;;;;;;;;;;;;;;;
"1 ermittelt aus den im Berichtsmonat gemeldeten Zu- und Fortzügen; vorläufige Angaben";;;;;;;;;;;;;;;;;;;


Zu- und Fortzüge¹ in Berlin 2022: Table 1
;Zu- und Fortzüge¹ in Berlin 2022;;;;;
;Bezirk;Zuzüge;Fortzüge;Saldo;Wanderungssaldo je 1 000 Einwohner²;
;;;;;;
01;Mitte;55.287;45.380;9.907;x;
02;Friedrichshain-Kreuzberg;36.164;32.068;4.096;x;
03;Pankow;41.419;33.537;7.882;x;
04;Charlottenburg-Wilmersdorf;43.337;33.681;9.656;x;
05;Spandau;23.136;15.617;7.519;x;
06;Steglitz-Zehlendorf;28.187;22.433;5.754;x;
07;Tempelhof-Schöneberg;35.551;29.274;6.277;x;
08;Neukölln;28.670;26.025;2.645;x;
09;Treptow-Köpenick;29.060;19.361;9.699;x;
10;Marzahn-Hellersdorf;23.789;15.584;8.205;x;
11;Lichtenberg;32.501;23.797;8.704;x;
12;Reinickendorf;29.337;25.097;4.240;x;
;Berlin;406.438;321.854;84.584;22,8;
;;;;;;
;1 über die Bezirksgrenze;;;;;
;"2 bezogen auf die Durchschnittsbevölkerung; aus methodischen Gründen keine Angabe für die Berliner Bezirke";;;;;

Binnenwanderung 2022: Table 1
9  Binnenwanderungen in Berlin 2022 nach Bezirken und Staatsangehörigkeit;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Von Bezirk;Nach Bezirk;;;;;;;;;;;;"Binnen-
fort-
züge";Von Bezirk
;Mitte;Friedrichshain-Kreuzberg;Pankow;Charlottenburg-Wilmersdorf;Spandau;Steglitz-Zehlendorf;Tempelhof-Schöneberg;Neukölln;Treptow-Köpenick;Marzahn-Hellersdorf;Lichtenberg;Reinickendorf;;
;;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
Mitte;–;3.283;4.354;3.618;1.553;1.504;2.529;1.926;1.601;1.046;2.171;2.714;26.299;Mitte
Friedrichshain-Kreuzberg.;2.818;–;2.525;1.605;555;874;1.977;2.672;1.686;871;2.269;621;18.473;Friedrichshain-Kreuzberg.
Pankow;3.014;2.116;–;1.258;634;832;1.221;1.008;1.309;1.346;2.444;1.222;16.404;Pankow
Charlottenburg-Wilmersdorf;3.002;1.333;1.507;–;2.155;2.399;2.414;1.170;946;489;964;1.134;17.513;Charlottenburg-Wilmersdorf
Spandau;846;344;544;1.173;–;561;663;455;490;462;562;778;6.878;Spandau
Steglitz-Zehlendorf;1.190;713;719;1.982;649;–;2.371;814;660;423;621;568;10.710;Steglitz-Zehlendorf
Tempelhof-Schöneberg.;1.881;1.354;1.112;2.517;985;2.854;–;2.050;1.292;662;1.010;811;16.528;Tempelhof-Schöneberg.
Neukölln;1.608;2.322;1.061;1.147;612;1.104;2.431;–;2.171;615;1.080;606;14.757;Neukölln
Treptow-Köpenick;780;803;967;510;373;501;851;1.120;–;1.260;1.468;395;9.028;Treptow-Köpenick
Marzahn-Hellersdorf;498;398;789;306;270;266;371;352;1.089;–;2.182;308;6.829;Marzahn-Hellersdorf
Lichtenberg;1.168;1.219;1.837;573;454;495;743;750;1.605;2.864;–;529;12.237;Lichtenberg
Reinickendorf;2.242;620;2.836;1.057;1.284;1.066;1.178;778;1.308;1.225;1.823;–;15.417;Reinickendorf
;;;;;;;;;;;;;;
