;Stimmart;Adresse;Bezirksnummer;Bezirksname;Abstimmungsbezirk;Abstimmungsbezirksart;Briefabstimmungsbezirk;Abgeordnetenhauswahlkreis;Bundestagswahlkreis;OstWest;Abstimmungsberechtigte insgesamt;Abstimmungsberechtigte A1;Abstimmungsberechtigte A2;Abstimmungsberechtigte A3;Teilnehmende;Teilnehmende B1;Ungültige Stimmen;Gültige Stimmen;Stimmabgabe Volksentscheid: Ja;Stimmabgabe Volksentscheid: Nein;aufn;Group 2
;Stimme;02B6D;02;Friedrichshain-Kreuzberg;6D;B;026D;06;83;O;0;0;0;0;129;129;1;128;80;48;;Group 1
;Stimme;02B6E;02;Friedrichshain-Kreuzberg;6E;B;026E;06;83;O;0;0;0;0;235;235;6;229;191;38;;Group 1
;Stimme;02B6F;02;Friedrichshain-Kreuzberg;6F;B;026F;06;83;O;0;0;0;0;160;160;0;160;130;30;;Group 1
;Stimme;02B6G;02;Friedrichshain-Kreuzberg;6G;B;026G;06;83;O;0;0;0;0;315;315;0;315;240;75;;Group 1
;Stimme;02B6H;02;Friedrichshain-Kreuzberg;6H;B;026H;06;83;O;0;0;0;0;247;247;0;247;207;40;;Group 1
;Stimme;02B6J;02;Friedrichshain-Kreuzberg;6J;B;026J;06;83;O;0;0;0;0;232;232;0;232;189;43;;Group 1
;Stimme;02B6K;02;Friedrichshain-Kreuzberg;6K;B;026K;06;83;O;0;0;0;0;235;235;0;235;174;61;;Group 1
;Stimme;02B6L;02;Friedrichshain-Kreuzberg;6L;B;026L;06;83;O;0;0;0;0;214;214;0;214;178;36;;Group 1
;Stimme;02B6M;02;Friedrichshain-Kreuzberg;6M;B;026M;06;83;O;0;0;0;0;212;212;0;212;171;41;;Group 1
;Stimme;02B6N;02;Friedrichshain-Kreuzberg;6N;B;026N;06;83;O;0;0;0;0;305;305;1;304;255;49;;Group 1
;Stimme;02B6P;02;Friedrichshain-Kreuzberg;6P;B;026P;06;83;O;0;0;0;0;226;226;0;226;180;46;;Group 1
;Stimme;02B6Q;02;Friedrichshain-Kreuzberg;6Q;B;026Q;06;83;O;0;0;0;0;126;126;0;126;99;27;;Group 1
;Stimme;02B6R;02;Friedrichshain-Kreuzberg;6R;B;026R;06;83;O;0;0;0;0;202;202;1;201;164;37;;Group 1
;Stimme;02B6S;02;Friedrichshain-Kreuzberg;6S;B;026S;06;83;O;0;0;0;0;235;235;0;235;194;41;;Group 1
;Stimme;02B6T;02;Friedrichshain-Kreuzberg;6T;B;026T;06;83;O;0;0;0;0;174;174;0;174;151;23;;Group 1
;Stimme;02B6U;02;Friedrichshain-Kreuzberg;6U;B;026U;06;83;O;0;0;0;0;167;167;0;167;137;30;;Group 1
;Stimme;02B6V;02;Friedrichshain-Kreuzberg;6V;B;026V;06;83;O;0;0;0;0;223;223;1;222;181;41;;Group 1
;Stimme;02B6W;02;Friedrichshain-Kreuzberg;6W;B;026W;06;83;O;0;0;0;0;180;180;0;180;153;27;;Group 1
;Stimme;02B6X;02;Friedrichshain-Kreuzberg;6X;B;026X;06;83;O;0;0;0;0;199;199;0;199;170;29;;Group 1
;Stimme;02B6Y;02;Friedrichshain-Kreuzberg;6Y;B;026Y;06;83;O;0;0;0;0;206;206;0;206;169;37;;Group 1
;Stimme;02B6Z;02;Friedrichshain-Kreuzberg;6Z;B;026Z;06;83;O;0;0;0;0;214;214;0;214;165;49;;Group 1
Group 2;;;;;;;;;;;;;;;;;;;;;;
